company_id,company_name,year,broad_sector,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,icr_label,free_cash_flow_cr,revenue_cagr_3yr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,sales,net_profit,pe_ratio,pb_ratio,dividend_yield_pct,dividend_payout_ratio_pct,market_cap_crore,sprint3_composite_score,sector_relative_score,de_declining_flag
TRENT,Trent Ltd,TTM,Consumer Discretionary,36.30776794493609,22.33293248582718,12.039933444259567,15.667221297836939,0.4309242871189774,16.908163265306122,Covered,841.0,49.49,33.94,76.37,76.23,15025.0,1809.0,8.65,11.82,3.46,8.0,571322.04,58.92,93.41,True
LTIM,LTIMindtree Ltd,TTM,Information Technology,22.904386052552702,25.207116664403095,12.319211398098522,17.32877265749145,0.10345688880007993,26.357142857142858,Covered,1752.0,12.45,27.83,24.65,12.1,37129.0,4574.0,64.52,2.38,4.43,42.0,1347046.9,55.3,74.49,False
ICICIBANK,ICICI Bank Ltd,TTM,Financials,17.99027109750765,5.11888931768417,29.031132477804057,69.63240303293806,6.445624336310825,1.2346170089474253,Covered,12547.0,23.69,16.31,36.1,36.08,180551.0,52416.0,25.76,6.2,3.43,16.0,1319221.86,53.73,97.09,True
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",TTM,Industrials,15.3548827162833,11.44374462092168,34.25447386000071,60.348767710860315,0.9373223691689719,7.025858741798533,Covered,8250.0,18.44,19.09,20.82,18.82,28443.0,9743.0,48.9,2.31,1.16,16.0,675598.01,52.24,74.92,True
PNB,Punjab National Bank,TTM,Financials,61.320565191187306,,12.516576821728123,,3.684256345007701,,Covered,-29445.0,15.06,16.16,97.39,67.03,116126.0,14535.0,19.29,10.91,1.32,18.0,1825925.6,48.68,78.34,True
HDFCBANK,HDFC Bank Ltd,TTM,Financials,14.33974005030719,4.801033923800871,21.934095592391998,62.61253046908717,6.808786667718385,1.4107329968428333,Covered,35669.0,34.27,21.91,21.46,12.72,329022.0,72168.0,49.42,4.4,4.33,23.0,808359.03,47.91,75.48,True
TATAPOWER,"Tata Power Company Ltd
",TTM,Energy,13.227840276919272,8.076006740658958,6.935059616626502,17.415615303438393,1.659321300531586,3.2457683007254343,Covered,3569.0,14.03,16.86,27.32,24.57,63489.0,4403.0,14.5,3.48,0.49,17.0,1647269.48,39.89,49.33,True
BAJFINANCE,Bajaj Finance Ltd,TTM,Financials,18.841921351830603,4.166013587646808,24.709773760015413,30.416352221455067,3.824788776468134,654.3793103448276,Covered,-79931.0,25.32,18.75,23.93,23.31,62279.0,15389.0,69.2,4.11,0.27,15.0,2473271.58,39.04,42.56,True
SHRIRAMFIN,"Shriram Finance Ltd
",TTM,Financials,15.116350338120824,4.0643421983857175,23.715633152719246,28.637367047963075,3.994034363699512,0.767479674796748,Covered,-31359.0,27.45,19.21,30.35,20.11,39864.0,9454.0,68.53,7.91,1.86,23.0,868933.47,35.04,27.71,False
ADANIENT,Adani Enterprises Ltd,TTM,Industrials,8.534650424813185,7.984787232004292,5.948529483633235,13.579185033867326,1.671358378544375,3.7065060240963854,Covered,-8455.0,13.8,18.71,42.38,37.42,102311.0,6086.0,58.87,10.41,0.83,5.0,187927.97,32.46,29.25,False
BAJAJFINSV,Bajaj Finserv Ltd,TTM,Financials,25.850351412279537,11.44874463510097,13.083801271948234,36.01926138298631,4.789368120938867,2.1091895400593472,Covered,-79634.0,22.67,18.36,22.48,20.34,126263.0,16520.0,15.07,6.08,2.56,2.0,1905112.17,32.08,16.72,False
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,TTM,Financials,17.455213596692694,3.3666952254848512,17.118478357479336,28.673006843836102,6.863420609401317,26.108870967741936,Covered,-38538.0,30.4,20.9,29.59,28.75,22502.0,3852.0,16.79,10.36,2.83,5.0,971931.96,31.16,13.3,False
